session_id,phase,iteration,elapsed_sec,x_norm,y_norm,dec_disp_norm
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.007159,0.506307,0.494929,-0.000109
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.045145,0.506275,0.494765,-0.000107
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.078889,0.506213,0.494888,-0.000025
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.110140,0.506320,0.495172,-0.000077
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.145253,0.506329,0.494930,-0.000130
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.178822,0.506368,0.495174,-0.000123
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.212792,0.506328,0.494672,-0.000177
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.246699,0.506322,0.495039,-0.000104
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.280508,0.506371,0.494900,-0.000177
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.315473,0.506321,0.495096,-0.000092
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.348406,0.506369,0.494974,-0.000161
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.381709,0.506317,0.494477,-0.000202
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.415439,0.506274,0.495017,-0.000060
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.448890,0.506226,0.494802,-0.000053
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.480992,0.506190,0.494772,-0.000023
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.514724,0.506286,0.494752,-0.000121
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.548788,0.506293,0.494757,-0.000127
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.582702,0.506303,0.494763,-0.000135
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.615654,0.506290,0.494772,-0.000121
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.648261,0.506295,0.494726,-0.000135
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.682108,0.506260,0.494827,-0.000081
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.715065,0.506290,0.494828,-0.000111
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.749215,0.506349,0.494731,-0.000186
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.780933,0.506384,0.494819,-0.000205
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.815575,0.506242,0.495092,-0.000015
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.848609,0.506223,0.494476,-0.000110
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.881286,0.506195,0.494786,-0.000025
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.915438,0.506347,0.495309,-0.000078
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.947920,0.506252,0.494951,-0.000051
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,0.981937,0.506331,0.495234,-0.000076
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.015848,0.506316,0.495021,-0.000100
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.048675,0.506305,0.494935,-0.000106
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.082506,0.506372,0.495293,-0.000106
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.115547,0.506388,0.495314,-0.000118
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.149087,0.506411,0.495390,-0.000127
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.181622,0.506372,0.495336,-0.000098
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.214522,0.506387,0.495014,-0.000172
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.248468,0.506366,0.494931,-0.000166
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.281436,0.506405,0.495463,-0.000107
AC76D53E-200E-4555-8D3B-61F327719D9D,azimuth,1,1.314614,0.506267,0.495117,-0.000035
