session_id,session_start,phase,cal_dec_axis_x,cal_dec_axis_y,iteration,duration_sec,sample_count,drift_rate_px_per_min,drift_rate_se_2sigma,ra_drift_rate_px_per_min,t_statistic,is_significant
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,azimuth,-0.9692390096154612,0.24612139736243985,1,103.044,3092,-4.3702,0.0376,0.4079,-232.2097,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,azimuth,-0.9692390096154612,0.24612139736243985,2,143.039,4292,-5.1919,0.0310,1.6573,-335.1117,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,azimuth,-0.9692390096154612,0.24612139736243985,3,162.034,4862,-4.4647,0.0347,-3.6207,-257.1857,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,azimuth,-0.9692390096154612,0.24612139736243985,4,140.552,3373,-4.2004,0.0310,-3.0425,-270.8358,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,azimuth,-0.9692390096154612,0.24612139736243985,4,140.552,3373,-4.2004,0.0310,-3.0425,-270.8358,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,1,94.051,2822,0.3783,0.0286,3.2296,26.4758,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,2,90.008,2701,1.8542,0.0305,-0.4712,121.4083,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,3,123.040,3692,1.1640,0.0358,-1.7233,64.9554,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,4,90.004,2701,0.7562,0.0266,2.0166,56.8238,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,5,104.040,3122,-0.5360,0.0342,2.7878,-31.3271,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,6,99.045,2972,-0.5939,0.0374,3.2368,-31.7486,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,7,90.019,2701,-1.5555,0.0211,-1.7051,-147.7410,true
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,8,90.016,2701,-0.9213,0.0215,-2.0231,-85.6937,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,9,90.017,2701,-0.9866,0.0333,0.9846,-59.1968,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,10,90.034,2702,-0.5629,0.0378,3.3251,-29.8018,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,11,90.010,2701,0.3656,0.0301,0.7560,24.2701,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,12,120.051,3602,0.6846,0.0293,-2.1686,46.7232,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,13,90.003,2701,0.5644,0.0337,1.0747,33.5099,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,14,149.033,4472,0.0739,0.0265,3.6064,5.5763,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,15,100.040,3002,-0.5067,0.0239,2.2687,-42.4509,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,16,119.038,3572,-0.1259,0.0255,-1.7764,-9.8632,false
54388C2B-0DA5-4322-90E7-8C3F58450517,2026-06-13T11:44:56Z,altitude,-0.9739256796607221,0.2268672971086856,16,119.038,3572,-0.1259,0.0255,-1.7764,-9.8632,false
