session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.010613,614.928,332.645,-0.007,-0.012,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.046396,614.972,332.692,-0.038,-0.068,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.081480,615.106,332.623,-0.185,-0.033,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.113291,614.944,332.656,-0.020,-0.026,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.150495,615.004,333.076,0.022,-0.448,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.184111,614.942,332.810,0.019,-0.176,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.217064,614.895,332.863,0.077,-0.216,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.252259,614.940,332.799,0.018,-0.164,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.284847,614.938,332.849,0.032,-0.212,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.318692,614.918,332.862,0.054,-0.220,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.351631,614.845,332.936,0.143,-0.275,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.385960,614.948,332.888,0.032,-0.253,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.418078,614.936,332.813,0.026,-0.177,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.451794,614.934,332.704,0.002,-0.071,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.484482,614.859,332.672,0.067,-0.022,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.517897,614.959,332.770,-0.007,-0.140,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.552696,614.916,332.715,0.021,-0.077,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.584609,614.889,332.678,0.039,-0.035,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.618507,614.902,332.605,0.009,0.033,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.651376,614.864,332.637,0.053,0.011,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.684284,614.858,332.654,0.063,-0.004,1280,720
25F628E1-E901-4813-B675-57BB910008F1,azimuth,1,0.718175,614.938,332.672,-0.010,-0.041,1280,720
